Venue,Citations
Proc. of the 26th Ini. Conf; on Very Large Databases (VLDB); Cairo; Egypt,4.0
"Proc. of the 27th VLDBConference, 2001",20.0
Proc. of the 31st VLDB Conference,6.0
Proc. of the 5th Intl ACM SIGMOD Workshop on XQuery Implementation; Experience; and Perspectives (XIME-P),1.0
"Proc. of the 6th CIDR, Asilomar, CA",13.0
Proc. of the International Workshop on Design and Management of Data Warehouses DMDW02,50.0
Proc. the 21st International Conference on Data Engineering; ICDE05,14.0
Proceeding of 21 st International Conference on Data Engineering Workshop ICDEW; Tokyo-Japan,4.0
Proceeding of the 14th International Conference on Very Large Data Bases,60.0
Proceeding of the 21th International Conference on Very Large Data Bases,962.0
Proceeding of the 25th VLDB Conference; Edinburgh; Scotland,60.0
Proceeding of the 2nd International Workshop on Personalized Access; Profile Management and Context Awareness: Databases (PersDB 2008); in conjunction with the VLDB 2008 Conference,18.0
Proceeding of the 7th international Workshop on the Web and Databases (WebDB); ACM SIGMOD/PODS,15.0
Proceedings 2002 VLDB Conference: 28th International Conference on Very Large Databases (VLDB),0.0
Proceedings 2003 VLDB Conference: 29th International Conference on Very Large Databases (VLDB),5.0
Proceedings 2004 VLDB Conference: The 30th International Conference on Very Large Databases (VLDB),0.0
Proceedings ACM SIGMOD/PODS 5th International Workshop on Knowledge Representation meets Databases (KRDB98): Innovative Application Programming and Query Interfaces,13.0
Proceedings of 13th International Conference Management of Data,30.0
Proceedings of 17th International Conf. On Very Large Data Bases,1.0
Proceedings of 19th International Conference on Extending Database Technology (EDBT),2.0
Proceedings of 2004 International Conference on Very Large Data Bases (VLDB04,30.0
Proceedings of 27th International Conference on Very Large Data Bases; September 11-14; 2001; Roma; Italy,109.0
Proceedings of 28th International Conference on Data Engineering (ICDE 2012),33.0
Proceedings of 30th VLDB Conference,1.0
Proceedings of 33rd Very Large Data Bases Conference (VLDB,12.0
Proceedings of 39th ACM SIGMOD International Conference on Management of Data,10.0
Proceedings of 5th Biennial Conference on Innovative Data Systems Research,219.0
Proceedings of 8th EDBT Conference,10.0
Proceedings of ACM SIGMOD International Conference on Management of Data,14.0
Proceedings of ACM-SIGMOD 1998 International Conference on Management of Data; Seattle,56.0
Proceedings of ICDE: the 20th International Conference on Data Engineering,14.0
Proceedings of ICDM 2005 workshop on temporal data mining: algorithms; theory and applications held in conjunction with the fifth IEEE international conference on data mining (ICDM05),22.0
Proceedings of Seventh International Conference on Extending Database Technology (EDBT00,7.0
Proceedings of The 26th ACM International Conference on Information and Knowledge Management (CIKM),11.0
Proceedings of The Vldb Endowment,968.0
"Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium",11.0
Proceedings of VLDB 2005 PhD Workshop,243.0
Proceedings of VLDB Conference,12.0
Proceedings of VLDB Workshop on Information Integration on the Web (IIWeb-2004),0.0
Proceedings of VLDB2000,5.0
Proceedings of Very Large Data Bases Conference (VLDB); 11-14 September; Rome,871.0
Proceedings of th 25th VLDB Conference,3.0
Proceedings of the 10th International Conference on Extending Database Technology (EDBT 2006); Munich; Germany,0.0
Proceedings of the 10th International Conference on Very Large Data Bases,3.0
Proceedings of the 11th International Conference on Information and Knowledge Management (CIKM),5.0
Proceedings of the 11th international conference on Extending database technology: Advances in database technology,3583.0
Proceedings of the 11th international conference on Very Large Data Bases-Volume 11,124.0
Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,5410.0
Proceedings of the 12th International Conference on Very Large Data Bases,65.0
Proceedings of the 12th international conference on extending database technology: Advances in database technology,500.0
Proceedings of the 12th international conference on extending database technology: advances in database technology,327.0
Proceedings of the 13th International Conference on Extending Database Technology,3164.0
Proceedings of the 13th International Conference on Extending Database Technology (EDBT 2010); Lausanne; Switzerland,1.0
Proceedings of the 13th International Conference on Very Large Data Bases,88.0
Proceedings of the 13th international conference on Extending Database Technology,79.0
Proceedings of the 13th international conference on extending database technology,243.0
Proceedings of the 14th International Conference on Extending Database Technology,2662.0
Proceedings of the 14th International Conference on Very Large Data Bases,43.0
Proceedings of the 14th VLDB Conference,160.0
Proceedings of the 14th international conference on extending database technology,488.0
Proceedings of the 15th ACM International Conference on Information and Knowledge Management (CIKM 2006),5.0
Proceedings of the 15th IEEE International Conference on Data Mining (ICDM 2015),1.0
Proceedings of the 15th Int. Conf. on Very Large Data Bases,78.0
Proceedings of the 15th International Conference on Extending Database Technology,1300.0
Proceedings of the 15th International Conference on Management of Data,2.0
Proceedings of the 15th international conference on Very large data bases,168.0
Proceedings of the 15th international conference on extending database technology,224.0
Proceedings of the 16th IEEE International Conference on Data Mining (ICDM 2016),5.0
Proceedings of the 16th International Conference on Extending Database Technology,1610.0
Proceedings of the 16th International Conference on Extending Database Technology (EDBT 2013),22.0
Proceedings of the 16th International Conference on Very Large Data Bases,222.0
Proceedings of the 16th international conference on extending database technology,347.0
Proceedings of the 17th International Conference on Management of Data,42.0
Proceedings of the 17th International Conference on Very Large Data Bases,607.0
Proceedings of the 17th International Conference on Very Large Data Bases (VLDB91),3.0
Proceedings of the 17th international conference on very large data bases,191.0
Proceedings of the 18th ACM SigmodSigact-Sigart Symposium on Principles of Database Systems; May,3.0
Proceedings of the 18th International Conference on Extending Database Technology,15.0
Proceedings of the 18th International Conference on Extending Database Technology; EDBT 2015,62.0
Proceedings of the 18th International Conference on Extending Database Technology; EDBT 2015; Brussels; Belgium; March 23-27; 2015.,3.0
Proceedings of the 18th International Conference on Management of Data,25.0
Proceedings of the 18th International Conference on Very Large Data Bases,88.0
Proceedings of the 18th VLDB Conference,2.0
Proceedings of the 1975 ACM SIGMOD international conference on Management of data,61.0
Proceedings of the 1978 ACM SIGMOD international conference on management of data,25.0
Proceedings of the 1979 ACM SIGMOD international conference on Management of data,225.0
Proceedings of the 1980 ACM SIGMOD international conference on Management of data,12.0
Proceedings of the 1981 ACM SIGMOD international conference on Management of data,19.0
Proceedings of the 1982 ACM SIGMOD international conference on Management of data,501.0
Proceedings of the 1993 ACM SIGMOD Conference on Management of Data; Washihgton; DC,1.0
Proceedings of the 1996 EDBT conference,24.0
Proceedings of the 1997 VLDB Conference,21.0
Proceedings of the 1998 ACM-SIG-MOD International Conference on the Management of Data,140.0
Proceedings of the 19th ACM International Conference on Information and Knowledge Management (CIKM 2010),22.0
Proceedings of the 19th International Conference on Extending Database Technology (EDBT),3.0
Proceedings of the 19th International Conference on Management of Data,30.0
Proceedings of the 19th International Conference on Very Large Data Bases,16.0
Proceedings of the 1st ACM SIGACT-SIGMOD symposium on Principles of database systems,152.0
Proceedings of the 1st ACM SIGMOD Workshop on Network Data Analytics,24.0
Proceedings of the 1st ACM SIGMOD Workshop on Scalable Workflow Execution Engines and Technologies,42.0
Proceedings of the 1st Hellenic Conference on the Management of Data,40.0
Proceedings of the 1st International Conference on Very Large Data Bases,30.0
Proceedings of the 1st Workshop on Data Management for End-to-End Machine Learning,0.0
Proceedings of the 2001 ACM SIGMOD International Conference on Management of Data,167.0
Proceedings of the 2002 ACM SIGMOD international conference on Management of data,18944.0
Proceedings of the 2002 ACM SIGMOD international conference on Management of data; June,102.0
Proceedings of the 2003 ACM SIGMOD Workshop on Management and Processing of Data Streams,588.0
Proceedings of the 2003 ACM SIGMOD international conference on Management of data,21113.0
Proceedings of the 2004 ACM SIGMOD international conference on Management of Data,42.0
Proceedings of the 2004 ACM SIGMOD international conference on Management of data,14880.0
Proceedings of the 2004 ACM SIGMOD international conference on Management of data-SIGMOD,4.0
Proceedings of the 2005 ACM SIGMOD international conference on Management of data,18744.0
Proceedings of the 2006 ACM SIGMOD international conference on Management of data,17745.0
Proceedings of the 2006 International Conference on Extending Database Technology (EDBT06,15.0
Proceedings of the 2007 ACM SIGMOD international conference on Management of data,15606.0
Proceedings of the 2008 ACM SIGMOD 2008,209.0
Proceedings of the 2008 ACM SIGMOD international conference on Management of data,23439.0
Proceedings of the 2008 EDBT workshop on Database technologies for handling XML information on the web,7.0
Proceedings of the 2008 EDBT workshop on Software engineering for tailor-made data management,59.0
Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,13068.0
Proceedings of the 2009 EDBT/ICDT Workshops,69.0
Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,13013.0
Proceedings of the 2010 EDBT/ICDT Workshops,80.0
Proceedings of the 2010 International Conference on Management of Data (SIGMOD 2010),31.0
Proceedings of the 2010 international conference on Management of data,532.0
Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,10472.0
Proceedings of the 2011 ACM SIGMOD international conference on Management of Data,105.0
Proceedings of the 2011 ACM SIGMOD international conference on Management of data,255.0
Proceedings of the 2011 Joint EDBT/ICDT Ph. D. Workshop,4.0
Proceedings of the 2011 international conference on Management of data,373.0
Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,7661.0
Proceedings of the 2012 ACM SIGMOD international conference on management of data,271.0
Proceedings of the 2012 Joint EDBT/ICDT Workshops,695.0
Proceedings of the 2012 international conference on Management of Data,23.0
Proceedings of the 2012 international conference on Management of Data (SIGMOD 2012),28.0
Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,5609.0
Proceedings of the 2013 ACM SIGMOD International Conference on Management of data,877.0
Proceedings of the 2013 ACM SIGMOD international conference on Management of data,790.0
Proceedings of the 2013 ACM SIGMOD international conference on management of data,238.0
Proceedings of the 2013 SIGMOD/PODS Ph. D. symposium,0.0
Proceedings of the 2013 acm sigmod international conference on management of data,165.0
Proceedings of the 2014 ACM SIGMOD International Conference on Management of Data,515.0
Proceedings of the 2014 ACM SIGMOD International Conference on Management of data,27.0
Proceedings of the 2014 ACM SIGMOD international conference on Management of Data,72.0
Proceedings of the 2014 ACM SIGMOD international conference on Management of data,5885.0
Proceedings of the 2014 ACM SIGMOD international conference on management of data,88.0
Proceedings of the 2014 SIGMOD PhD symposium,46.0
Proceedings of the 2014 international conference on Management of data,32.0
Proceedings of the 2014 international conference on Management of data (SIGMOD),58.0
Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,5396.0
Proceedings of the 2015 ACM SIGMOD international conference on Management of Data,72.0
Proceedings of the 2015 ACM SIGMOD international conference on management of data,224.0
Proceedings of the 2015 ACM SIGMOD on PhD Symposium,0.0
Proceedings of the 2016 ACM SIGMOD International Conference on Management of Data,7.0
Proceedings of the 2016 International Conference on Management of Data,2055.0
Proceedings of the 2016 International Conference on Management of Data (SIGMOD),21.0
Proceedings of the 2016 International Conference on Management of Data SIGMOD 2016,8.0
Proceedings of the 2016 on SIGMOD'16 PhD Symposium,0.0
Proceedings of the 2016 workshop on QoE-based Analysis and Management of Data Communication Networks,6.0
Proceedings of the 2017 ACM International Conference on Management of Data,527.0
Proceedings of the 2017 ACM on Conference on Information and Knowledge Management; CIKM 2017; Singapore; November 06-10; 2017,2.0
Proceedings of the 2017 International Conference on Management of Data (SIGMOD),3.0
Proceedings of the 20th ACM International Conference on Information and Knowledge Management (CIKM 2011),30.0
Proceedings of the 20th International Conference on Management of Data,5.0
Proceedings of the 20th International Conference on Very Large Data Bases,154.0
Proceedings of the 21 st International Conference on Data Engineering (ICDE,60.0
Proceedings of the 21th International Conference on Very Large Data Bases,4.0
"Proceedings of the 22 nd International Conference on Data Engineering, ICDE 2006",8.0
Proceedings of the 22nd ACM International Conference on Information and Knowledge Management (CIKM 2013),54.0
Proceedings of the 22nd International Conference on Data Engineering (ICDE),8.0
Proceedings of the 22nd International Conference on Very Large Databases; VLDB-96; Bombay; India,3.0
Proceedings of the 22th International Conference on Very Large Data Bases,717.0
Proceedings of the 23rd ACM International Conference on Information and Knowledge Management (CIKM 2014),23.0
Proceedings of the 24rd International Conference on Very Large Data Bases,31.0
Proceedings of the 24th International Conference on Very Large Data Bases (VLDB'98),63.0
Proceedings of the 24th VLDB Conference,77.0
Proceedings of the 25th ACM International Conference on Information and Knowledge Management (CIKM 2010),0.0
Proceedings of the 25th ACM International Conference on Information and Knowledge Management (CIKM 2016),3.0
Proceedings of the 25th International Conference on Very Large Data Bases,123.0
Proceedings of the 25th VLDB Conference,219.0
Proceedings of the 25th VLDB Conference; Edinburgh; Scotland,1644.0
Proceedings of the 26th ACM International Conference on Information and Knowledge Management (CIKM 2017),0.0
Proceedings of the 26th International Conference on Very Large Data Bases,189.0
Proceedings of the 26th International Conference on Very Large Data Bases; 395Y406,0.0
Proceedings of the 26th international conference on very large data bases,234.0
Proceedings of the 28th international conference on Very Large Data Bases,1363.0
Proceedings of the 29th International Conference on Data Engineering (ICDE'13),77.0
Proceedings of the 29th International Conference on Very Large Data Bases; September,3.0
Proceedings of the 29th international conference on Very large data bases-Volume 29,8363.0
Proceedings of the 2nd ACM SIGACT-SIGMOD symposium on Principles of database systems,521.0
Proceedings of the 2nd ACM SIGMOD Workshop on Databases and Social Networks,21.0
Proceedings of the 2nd ACM SIGMOD Workshop on Scalable Workflow Execution Engines and Technologies,50.0
Proceedings of the 2nd SIGMOD PhD workshop on Innovative database research,121.0
Proceedings of the 30th International Conference on Data Engineering (ICDE); Chicago; IL; USA,33.0
Proceedings of the 30th VLDB Conference,5.0
Proceedings of the 30th VLDB Conference. Toronto; Canada,25.0
Proceedings of the 31st ACM SIGMOD-SIGACT-SIGAI symposium on Principles of Database Systems,312.0
Proceedings of the 31st international conference on Very large data bases,19953.0
Proceedings of the 32nd ACM SIGMOD-SIGACT-SIGAI symposium on Principles of database systems,260.0
Proceedings of the 32nd international conference on Very large data bases,16887.0
Proceedings of the 32nd symposium on Principles of database systems,0.0
Proceedings of the 33rd ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,342.0
Proceedings of the 33rd International Conference on Very Large Data Bases (VLDB 2007),23.0
Proceedings of the 33rd international conference on Very large data bases,20979.0
Proceedings of the 33rd international conference on very large data bases,32.0
Proceedings of the 34th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,153.0
Proceedings of the 34th acm sigmod-sigact-sigai symposium on principles of database systems,18.0
Proceedings of the 35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,93.0
Proceedings of the 35th SIGMOD international conference on Management of data,188.0
Proceedings of the 36th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,69.0
Proceedings of the 39th international conference on Very Large Data Bases,116.0
Proceedings of the 3rd ACM SIGACT-SIGMOD symposium on Principles of database systems,23.0
Proceedings of the 3rd ACM SIGMOD Workshop on Algorithms and Systems for MapReduce and Beyond,20.0
"Proceedings of the 3rd International Conference on Information and Knowledge Management (CIKM"" 94)",12.0
Proceedings of the 3rd International Workshop on Visual Data Mining; VDM ICDM'2003,3.0
Proceedings of the 3rd VLDB Workshop on In-Memory Data Mangement and Analytics,11.0
Proceedings of the 3rd workshop on Data management for sensor networks: in conjunction with VLDB 2006,16.0
Proceedings of the 4th Biennial Conference on Innovative Data Systems Research (CIDR09),16.0
Proceedings of the 4th International Workshop on Design and Management of Data Warehouses (DMDW'02; Toronto; Canada,12.0
Proceedings of the 4th workshop on Data management for sensor networks: in conjunction with 33rd International Conference on Very Large Data Bases,45.0
"Proceedings of the 5th International Conference on Extending Database Technology, Avignon",36.0
Proceedings of the 6th Biennial Conference on Innovative Data Systems Research,24.0
Proceedings of the 7th Biennial Conference on Innovative Data Systems Research,172.0
Proceedings of the 7th Biennial Conference on Innovative Data Systems Research (CIDR),54.0
Proceedings of the 7th International Conference on Information and Knowledge Management CIKM,2.0
Proceedings of the 7th International Workshop on the Web and Databases: colocated with ACM SIGMOD/PODS 2004,362.0
Proceedings of the 7th international workshop on the web and databases: colocated with ACM SIGMOD/PODS 2004,183.0
Proceedings of the 8th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,1802.0
Proceedings of the 8th International Conference on Management of Data,7.0
Proceedings of the 9th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,769.0
Proceedings of the ACM 18th Conference on Information and Knowledge Management (CIKM),1.0
Proceedings of the ACM SIGMOD Conference on Management of Data,1.0
"Proceedings of the ACM SIGMOD Conference, ACM",12.0
Proceedings of the ACM SIGMOD Int. Conf. on Management of Data,2.0
Proceedings of the ACM SIGMOD International Conference on Management of Data,264.0
Proceedings of the ACM SIGMOD International Conference on Management of Data (SIGMOD 2013),43.0
Proceedings of the ACM SIGMOD International Conference on Management of Data (SIGMOD 2014),128.0
Proceedings of the ACM SIGMOD International Conference on Management of Data (SIGMOD'16),11.0
Proceedings of the ACM SIGMOD International Conference on Management of Data; SIGMOD 2004,0.0
Proceedings of the ACMSIGMOD International Conference on Management of Data,9.0
Proceedings of the EDBT/ICDT 2011 Workshop on Array Databases,81.0
Proceedings of the Fifteenth IEEE International Conference on Data Engineering (ICDE 99); Sydney; Australia,297.0
Proceedings of the Fifth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,13.0
Proceedings of the First Workshop on Data Management for Sensor Networks (DMSN 2004,20.0
Proceedings of the IEEE ICDM Workshop on Temporal Data Mining: Algorithms; Theory and Applications (TDM-05),60.0
Proceedings of the IEEE International Conference on Data Mining (ICDM17),2.0
"Proceedings of the International Conference on Extending Database Technology (EDBT), 2009",19.0
Proceedings of the International Conference on Very Large Data Bases (VLDB99),3.0
Proceedings of the International Conference on Very Large Databases,34.0
Proceedings of the International Workshop on Advances in Databases and Information Systems,5.0
Proceedings of the Joint EDBT/ICDT 2013 Workshops,292.0
Proceedings of the Joint EDBT/ICDT 2013 workshops,24.0
Proceedings of the Second Biennial Conference on Innovative Data Systems Research (CIDR); Jan. 2005,129.0
Proceedings of the Sixth Biennial Conference on Innovative Data Systems Research (CIDR 2013),1.0
Proceedings of the Thirtieth International Conference on Very Large Data Bases: Toronto; Canada; August 31-September 3; 2004,0.0
Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,25871.0
Proceedings of the Twenty-third ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems; PODS 2004,0.0
Proceedings of the VLDB Endowment,21997.0
Proceedings of the VLDB Endowment (PVLDB 2012),156.0
"Proceedings of the VLDB Endowment - Proceedings of the 41st International Conference on Very Large Data Bases, Kohala Coast, Hawaii",387.0
"Proceedings of the VLDB Endowment - Proceedings of the 43rd International Conference on Very Large Data Bases, Munich, Germany",1.0
"Proceedings of the VLDB Endowment - Proceedings of the 44th International Conference on Very Large Data Bases, Rio de Janeiro, Brazil",6.0
Proceedings of the VLDB Endowment 4 (11),506.0
Proceedings of the VLDB Endowment; 2010,83.0
Proceedings of the Workshop on Human-In-the-Loop Data Analytics; HILDA@SIGMOD                2016; San Francisco; CA; USA; June 26 - July 01; 2016,2.0
Proceedings of the fourth international conference on Very Large Data Bases-Volume 4,4.0
Proceedings of the joint EDBT/ICDT 2013 workshops,19.0
Proceedings of the of 8th Biennial Conference on Innovative Data Systems Research (CIDR),0.0
Proceedings of the on SIGMOD/PODS 2012 PhD Symposium,7.0
Proceedings of the seventh ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,22.0
Proceedings of the sixth international conference on Very Large Data Bases-Volume 6,455.0
Proceedings of the tenth international conference on Information and knowledge management,90.0
Proceedings of the thirtieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,0.0
Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,76.0
Proceedings on SIGMOD 98 Demo,3.0
Proceedings-20th International Conference on Data Engineering-ICDE 2004,0.0
Proceedings-Fourth IEEE International Conference on Data Mining; ICDM 2004,0.0
Proceedings-IEEE 13th International Conference on Data Mining Workshops; ICDMW 2013,0.0
Proceedings. 20th International Conference on Data Engineering,425.0
Proceedings. of Workshop on Research Issues on Data Mining and Knowledge Discovery,9.0
Proceeedings of the 1st international workshop on Data management for sensor networks: in conjunction with VLDB 2004,409.0
"Proceeedings, AMAST 95",20.0
"Processing, Poster in ICDE",5.0
Procs. of VLDB&apos;01,20.0
Proeeedings of the Intemational Conference Of Management of Data (SIGMOD 2000)[C1. Dallas; TX; 2000: 331342,2.0
Published in the Proceedings of the ACM SIGMOD Conference,713.0
Query processing in tertiary memory databases,80.0
"R1(X, Y ). S  1(X, Y, td)  S1(X, Y ). R  2 (X, Y, td)  R2(X, Y ). S  2(X, Y, td)  S2(X, Y ).  R  1 (X, Y, td), R1(X, Y ).  S  1(X, Y, td), S1(X, Y ).  S",142.0
"RR N FFI 20 L. BOUGANIM, D.FLORESCU, P. VALDURIEZ",1.0
Ranked XML Querying,0.0
Readings in database systems (2nd ed.),357.0
Readings in database systems (3rd ed.),1174.0
Readings in object-oriented database systems,651.0
Research Issues on Data Mining and Knowledge Discovery,79.0
SAC '02,4.0
SAC '06,1.0
SAC '08,2.0
SBBD,91.0
SEBD,0.0
SETMDM '08,11.0
SIAM International Conference on Data Mining,173.0
SIAM J. Comput.,38.0
SIGIR '07,7.0
SIGIR '11,7.0
SIGIR '16,0.0
SIGIR Forum,0.0
SIGLOG News,34.0
SIGMOD,261.0
SIGMOD '00 Proceedings of the 2000 ACM SIGMOD international conference on Management of data,353.0
SIGMOD '01,2153.0
SIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data,702.0
SIGMOD '02,3697.0
SIGMOD '03,3157.0
SIGMOD '04,2892.0
SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,544.0
SIGMOD '05,3005.0
SIGMOD '06,2370.0
SIGMOD '07,2535.0
SIGMOD '08,3765.0
SIGMOD '09,1854.0
SIGMOD '10,1993.0
SIGMOD '11,2234.0
SIGMOD '12,1420.0
SIGMOD '12 Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,5.0
SIGMOD '13,1396.0
SIGMOD '14,1675.0
SIGMOD '15,1330.0
SIGMOD '15 PhD Symposium,0.0
SIGMOD '15 Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,57.0
SIGMOD '16,647.0
SIGMOD '17,196.0
SIGMOD '18,0.0
SIGMOD '75,16.0
SIGMOD '77,0.0
SIGMOD '78,7.0
SIGMOD '78 Proceedings of the 1978 ACM SIGMOD international conference on management of data,25.0
SIGMOD '79,78.0
SIGMOD '80,6.0
SIGMOD '81,3.0
SIGMOD '81 Proceedings of the 1981 ACM SIGMOD international conference on Management of data,19.0
SIGMOD '82,116.0
SIGMOD '83,112.0
SIGMOD '84,159.0
SIGMOD '85,48.0
SIGMOD '87,831.0
SIGMOD '88,271.0
SIGMOD '88 Proceedings of the 1988 ACM SIGMOD international conference on Management of data,166.0
SIGMOD '90,1977.0
SIGMOD '91,350.0
SIGMOD '91 Proceedings of the 1991 ACM SIGMOD international conference on Management of data,241.0
SIGMOD '92,428.0
SIGMOD '92 Proceedings of the 1992 ACM SIGMOD international conference on Management of data,100.0
SIGMOD '93,879.0
SIGMOD '94,1481.0
SIGMOD '95,244.0
SIGMOD '95 Proceedings of the 1995 ACM SIGMOD international conference on Management of data,9.0
SIGMOD '96,1565.0
SIGMOD '97,1916.0
SIGMOD '97 Proceedings of the 1997 ACM SIGMOD international conference on Management of data,715.0
SIGMOD '98,3747.0
SIGMOD '98 Proceedings of the 1998 ACM SIGMOD international conference on Management of data,3891.0
SIGMOD '99 Proceedings of the 1999 ACM SIGMOD international conference on Management of data,227.0
SIGMOD 06 Proceedings of the 2006 ACM SIGMOD international conference on Management of data,1.0
SIGMOD 2002,0.0
SIGMOD 2005,29.0
SIGMOD 2006,254.0
SIGMOD 2008; Proceedings of the 2008 ACM SIGMOD international conference on Management of data,475.0
SIGMOD 2011,567.0
SIGMOD 2012,453.0
SIGMOD 2013,685.0
SIGMOD 2014,203.0
SIGMOD 2015,585.0
SIGMOD 2016,50.0
SIGMOD 2017 DEEM Workshop,0.0
SIGMOD 2017 HILDA Workshop,0.0
SIGMOD Conf,4.0
SIGMOD Conference,181374.0
SIGMOD Demo,6.0
SIGMOD PhD Symposium,51.0
SIGMOD RECORD,353.0
SIGMOD Rec,175.0
SIGMOD Record,27027.0
SIGMOD&apos;07,14.0
SIGMOD&apos;08,5.0
SIGMOD&apos;98 Workshop on Research Issues on Data Mining and Knowledge Discovery (DMKD&apos;98,22.0
SIGMOD'13 PhD Symposium,1.0
SIGMOD'14 PhD Symposium,9.0
SIGMOD'16 PhD,0.0
SIGMOD-04 Workshop on Databases in Virtual Organizations (DIVO-04),1.0
SIGMOD/PODS 2013 PhD Symposium,3.0
SIGMOD/PODS Ph.D. Symposium,0.0
SIGMOD/PODS PhD Symposium,9.0
SIGMOD/PODS'13 [Elektronische Daten]: compilation proceedings of the 2013 ACM Symposium on Principles of Database Systems; ACM SIGMOD international conference on management of data; and SIGMOD/PODS 2013 PhD symposium: June 22-27; 2013; New York; New Yor,0.0
SIGMOD03 DEMO PROPOSAL,0.0
SIGSPATIAL '12,2.0
SIGSPATIAL '14,19.0
SIGSPATIAL '15,22.0
SIGSPATIAL Special,0.0
SSDBM,259.0
SSDBM '14,5.0
STDBM,0.0
SWEET '12,3.0
SWEET '13,3.0
SWEET@SIGMOD,33.0
"San Jose, CA",572.0
Scientific Programming,0.0
Second Biennial Conference on Innovative Data Systems Research (CIDR 2005); Asilomar; CA,1517.0
Security and Communication Networks,0.0
Security for Object-Oriented Systems,0.0
Seventh IEEE International Conference on Data Mining (ICDM 2007),534.0
Seventh IEEE International Conference on Data Mining Workshops (ICDMW 2007),114.0
Sigmod Record,1570.0
Simon Fraser University,11.0
Sixth IEEE International Conference on Data Mining - Workshops (ICDMW'06),64.0
Sixth International Conference on Data Mining (ICDM'06),414.0
SoCC '17,0.0
Soft Comput.,0.0
Software Engineering for Tailor-made Data Management,0.0
Stanford Infolab,39.0
Symposium on Principles of Database Systems,3757.0
Symposium on Reliable Distributed Systems,2.0
TCS,29.0
TES,11.0
THE VLDB JOURNAL,262.0
THE VLDB JOURNAL ,82.0
THE VLDB JOURNAL  ,20.0
TKDD,8.0
TKDE,321.0
TKDE SPECIAL ISSUE: KEYWORD SEARCH ON STRUCTURED DATA,4.0
TKDE journal,3.0
TODS,1546.0
TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING ,24.0
"TechReport UCR CS 01 01, CS Dept",74.0
"Temporal Databases, Dagstuhl",113.0
The 18th International Conference on Extending Database Technology (EDBT),11.0
The 2011 ACM SIGMOD/PODS Conference,32.0
The 22nd ACM International Conference on Information and Knowledge Management (CIKM 2013),95.0
The 23rd ACM International Conference on Information and Knowledge Management (CIKM),11.0
The 24th ACM International Conference on Information and Knowledge Management (CIKM'15),44.0
The 25th ACM International Conference on Information and Knowledge Management (CIKM 2016),0.0
The 25th ACM International Conference on Information and Knowledge Management (CIKM'16),25.0
The 25th ACM International Conference on Information and Knowledge Management (CIKM),0.0
The 25th ACM International on Conference on Information and Knowledge Management (CIKM),1.0
The 26th ACM International Conference on Information and Knowledge Management (CIKM),0.0
The 31st International Conference on Data Engineering (ICDE),8.0
The 32nd IEEE International Conference on Data Engineering (ICDE'16),43.0
The 32nd IEEE International Conference on Data Engineering (ICDE); Helsinki; Finland; 2016.,2.0
The 33rd IEEE International Conference on Data Engineering (ICDE); San Diego; California; USA; 2017 (TKDE Extended Abstract).,5.0
The 33rd IEEE International Conference on Data Engineering (ICDE); San Diego; California; USA; 2017.,1.0
The ACM International Conference on Information and Knowledge Management (CIKM); Indianapolis; USA; 2016.,3.0
The ACM International Conference on Information and Knowledge Management (CIKM); San Francisco; CA; USA; 2013.,3.0
The ACM SIGMOD International Conference on Management of Data (SIGMOD); 2014,31.0
The Design of ~1NF Relational Databases Into Nested Normal Form,80.0
The IEEE 22nd International Conference on Data Engineering (ICDE 2006),215.0
The IEEE 22nd International Conference on Data Engineering (ICDE 2006)AtlantaGeorgiaUSA,1.0
The Third IEEE International Conference on Data Mining (ICDM03); Melbourne; FL,2.0
The VLDB Journal,1607.0
The VLDB Journal Â¾ The International Journal on Very Large Data Bases,10152.0
